x,y,z
120.71,23.46,1320
120.8,23.62,1727
120.71,23.62,1644
120.78,23.63,1663
120.79,23.63,1770
120.79,23.63,1665
120.79,23.63,1665
120.78,23.65,1783
120.98,23.24,2343
120.87,23.46,2843
120.89,23.47,2615
120.88,23.48,2622
120.79,23.63,1770
120.79,23.63,1770
120.79,23.67,1072
121.08,24.02,888
121.08,24.02,888
121.08,24.02,888
121.08,24.02,888
121.15,24.04,1710
121.15,24.04,1671
121.43,24.19,1643
121.02,24.2,875
121.02,24.2,875
121.25,24.25,1967
121,23.8,764
121.55,25.06,0
121.55,25.06,0
120.5,23.26,840
121.07,24.02,1010
121.16,24.05,1916
121.16,24.05,1907
121.32,24.09,3376
121.01,24.17,1272
121.4,24.17,2142
121.4,24.17,2142
121.4,24.17,2141
121.4,24.18,2189
121.4,24.18,2189
121.01,24.19,924
121.48,24.2,959
120.95,24.24,2120
121,24.26,2184
121.31,24.35,1745
121.31,24.35,1745
121.31,24.35,1748
121.31,24.35,1756
121.31,24.36,1747
121.53,24.49,1895
121.15,24.61,1054
121.18,24.09,2185
121.31,24.69,1424
120.81,23.51,2278
121.19,24.25,2003
121.4,24.17,2253
121.42,24.79,1047
121.42,24.73,1493
121.43,24.79,1171
121.43,24.72,1787
121.43,24.79,1203
121.43,24.79,1293
121.43,24.79,1321
121.43,24.79,1316
121.43,24.8,1145
121.44,24.79,1322
121.44,24.79,1321
121.44,24.79,1366
120.87,23.28,1711
120.87,23.28,1711
120.87,23.28,1711
120.87,23.28,1711
120.87,23.28,1711
120.87,23.28,1711
120.87,23.28,1711
120.87,23.28,1711
120.87,23.28,1711
120.87,23.28,1711
120.87,23.28,1711
120.87,23.28,1711
120.87,23.28,1711
120.87,23.28,1711
120.87,23.28,1711
121.11,24.5,1948
121.13,24.5,2019
121.13,24.5,2019
121.13,24.5,2019
121.56,25.16,745
121.45,24.2,1126
121.19,24.1,2297
121.4,24.18,2199
121.31,24.37,1798
121.3,24.35,1751
121.3,24.34,1714
121.3,24.23,2296
121.3,24.23,2296
121.17,24.08,2117
121.11,24.5,2109
121.08,24.02,921
121.21,24.04,1874
121.21,24.04,1874
121.21,24.04,1874
121.21,24.04,1874
121.21,24.04,1874
121.21,24.04,1874
120.94,24.28,905
120.94,24.28,905
120.94,24.28,905
120.8,23.5,2173
121.19,24.09,2352
120.8,23.5,2173
121.2,24.25,1431
121.11,24.5,2099
121.52,24.52,1332
121.33,24.57,1572
121.3,24.41,2209
121.31,24.35,1745
120.81,23.51,2269
121.08,24.02,859
121.11,24.5,2107
121.17,24.08,2148
120.91,23.27,2224
121.17,24.08,2120
121.17,24.08,2158
120.98,23.24,2261
121.3,24.65,697
120.71,23.6,1216
121.26,24.21,1956
120.97,24.24,2012
121.31,24.69,1534
120.88,23.48,2608
120.9,23.53,1930
121.4,24.17,2265
120.94,23.82,1053
121.11,24.52,1917
121.19,24.1,2302
121.25,24.35,3138
121.11,24.5,2043
120.89,23.49,2556
